id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Arrival Delay in Minutes_width_bin,Departure Delay in Minutes_width_bin,Arrival Delay in Minutes_depth_bin,Departure Delay in Minutes_depth_bin,flight_distance_minmax,flight_distance_zscore
82940,Female,Loyal Customer,28,Personal Travel,Eco Plus,594,3,4,3,3,5,3,5,5,4,4,3,1,3,5,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.11415247364152474,-0.5939056235141779
876,Female,disloyal Customer,20,Business travel,Eco,134,4,3,5,3,4,5,4,4,1,1,4,4,4,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.020884022708840228,-1.0557477657621224
31094,Female,disloyal Customer,26,Business travel,Eco,1014,1,1,1,4,3,1,3,3,2,4,3,3,4,3,8,36.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(2.0, 19.0]",0.19931062449310624,-0.17222366754866336
129561,Female,Loyal Customer,31,Personal Travel,Eco,2583,3,2,3,3,4,3,4,4,2,3,1,4,2,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.5174371451743714,1.4030596393796515
52749,Female,Loyal Customer,25,Personal Travel,Eco,2306,3,5,3,3,4,3,4,4,3,5,4,3,5,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.46127331711273317,1.1249503493738242
36137,Female,Loyal Customer,40,Business travel,Business,2910,1,1,1,1,3,1,1,1,1,1,1,3,1,4,0,45.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(-0.001, 2.0]",0.5837388483373885,1.7313691622385166
19673,Male,disloyal Customer,29,Business travel,Eco,409,3,0,3,4,1,3,1,1,1,4,4,5,3,1,40,34.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.07664233576642336,-0.7796464850704165
60983,Male,Loyal Customer,39,Personal Travel,Eco,888,2,5,2,1,5,2,5,5,3,5,5,3,1,5,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.1737631792376318,-0.29872825433831773
123699,Male,Loyal Customer,31,Personal Travel,Eco,214,3,5,0,4,4,0,4,4,5,4,4,3,4,4,18,6.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]",0.03710462287104623,-0.9754273931972625
12967,Female,Loyal Customer,23,Personal Travel,Eco Plus,359,2,5,2,1,2,2,2,2,4,5,5,3,4,2,0,2.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.0665044606650446,-0.8298467179234539
7257,Female,Loyal Customer,45,Personal Travel,Eco,135,3,2,3,3,3,3,4,5,5,3,5,3,5,1,41,33.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.021086780210867802,-1.0547437611050616
26673,Male,Loyal Customer,14,Personal Travel,Eco,406,3,5,3,1,5,3,5,5,4,5,4,4,5,5,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.07603406326034064,-0.7826584990415987
39907,Female,Loyal Customer,64,Personal Travel,Eco Plus,272,4,0,4,1,3,4,3,1,1,4,2,5,1,3,4,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(2.0, 19.0]",0.04886455798864558,-0.917195123087739
79673,Male,Loyal Customer,34,Personal Travel,Eco,760,1,2,1,4,2,1,4,2,1,3,4,1,4,2,6,31.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(2.0, 19.0]",0.1478102189781022,-0.4272408504420936
113080,Male,Loyal Customer,49,Business travel,Business,543,2,5,5,5,5,3,4,2,2,2,2,2,2,3,61,56.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.10381184103811841,-0.645109861024276
91515,Male,Loyal Customer,66,Personal Travel,Eco,1620,3,5,2,1,3,2,5,3,1,3,4,1,1,3,30,32.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.3221816707218167,0.4362031546301504
27988,Female,Loyal Customer,9,Personal Travel,Eco Plus,2350,4,2,4,4,2,4,2,2,3,2,4,4,3,2,0,1.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.4701946472019465,1.169126554284497
54861,Male,disloyal Customer,47,Business travel,Eco,862,3,3,3,3,3,3,3,3,4,4,2,4,2,3,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.16849148418491483,-0.3248323754218972
105691,Male,Loyal Customer,35,Business travel,Business,1786,3,2,2,2,4,2,2,3,3,3,3,3,3,3,126,92.0,neutral or dissatisfied,"(-0.001, 101.1]","(101.7, 203.4]","(19.0, 1011.0]","(19.0, 1017.0]",0.35583941605839414,0.6028679277022347
113024,Male,Loyal Customer,21,Personal Travel,Business,569,2,4,2,1,2,2,2,2,5,3,4,5,5,2,14,13.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]",0.10908353609083536,-0.6190057399406966
112203,Male,disloyal Customer,22,Business travel,Eco,649,3,1,3,3,2,3,5,2,3,4,3,1,4,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.12530413625304138,-0.5386853673758367
14704,Female,disloyal Customer,36,Business travel,Eco,419,1,1,1,3,3,1,3,3,2,3,4,1,4,3,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.0786699107866991,-0.7696064384998089
88691,Male,Loyal Customer,8,Personal Travel,Eco,404,3,5,3,1,5,3,5,5,4,2,4,5,4,5,0,2.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.07562854825628548,-0.7846665083557202
68171,Female,Loyal Customer,67,Business travel,Eco,603,4,5,4,5,2,3,2,4,4,4,4,2,4,1,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.11597729115977291,-0.5848695816006312
114301,Male,Loyal Customer,27,Personal Travel,Eco,862,2,3,1,1,2,1,2,2,2,5,5,3,1,2,46,38.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.16849148418491483,-0.3248323754218972
24706,Female,Loyal Customer,59,Business travel,Eco,397,4,4,3,3,5,4,3,4,4,4,4,4,4,3,21,27.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.07420924574209246,-0.7916945409551454
24993,Female,Loyal Customer,49,Business travel,Eco,484,4,5,4,5,3,4,3,4,4,4,4,1,4,1,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.09184914841849148,-0.7043461357908603
75240,Male,Loyal Customer,26,Personal Travel,Eco,1744,3,0,3,2,1,3,1,1,4,5,4,5,4,1,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.347323600973236,0.5606997321056832
67200,Female,Loyal Customer,69,Personal Travel,Eco,1017,4,4,5,4,4,4,4,1,1,5,2,1,1,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.19991889699918897,-0.1692116535774811
74605,Female,disloyal Customer,27,Business travel,Eco,1103,3,2,2,4,5,3,5,5,3,4,4,1,4,5,0,7.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(-0.001, 2.0]",0.21735604217356042,-0.08286725307025672
82641,Male,Loyal Customer,32,Personal Travel,Eco Plus,528,3,5,3,3,3,3,1,3,5,2,5,4,4,3,6,25.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(2.0, 19.0]",0.10077047850770479,-0.6601699308801873
50667,Male,Loyal Customer,55,Personal Travel,Eco,109,2,5,2,5,5,2,5,5,4,5,5,5,5,5,58,70.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.015815085158150853,-1.0808478821886411
49213,Male,disloyal Customer,32,Business travel,Eco,158,1,5,2,3,4,2,4,4,4,4,4,5,4,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.025750202757502026,-1.0316516539926643
93753,Male,Loyal Customer,33,Business travel,Business,368,1,3,3,3,1,1,1,1,4,5,3,2,3,1,94,87.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.06832927818329278,-0.8208106760099071
105985,Female,Loyal Customer,17,Personal Travel,Eco Plus,2295,2,1,2,3,5,2,5,5,2,2,3,4,4,5,31,21.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.45904298459042986,1.1139062981461558
105231,Male,Loyal Customer,34,Business travel,Eco,377,2,2,5,5,2,2,2,2,3,1,3,2,3,2,24,21.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.07015409570154096,-0.8117746340963604
28753,Male,disloyal Customer,24,Business travel,Eco,1024,4,4,4,3,5,4,5,5,2,2,3,1,4,5,5,6.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]",0.201338199513382,-0.1621836209780559
94647,Male,disloyal Customer,38,Business travel,Business,187,2,2,2,4,3,2,3,3,4,4,5,5,5,3,17,9.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]",0.031630170316301706,-1.0025355189379026
73890,Male,disloyal Customer,24,Business travel,Eco,998,3,3,3,1,4,3,3,4,5,5,3,4,4,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.19606650446066504,-0.18828774206163534
87866,Female,Loyal Customer,39,Personal Travel,Eco,214,3,1,3,2,4,3,4,4,4,4,2,4,2,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.03710462287104623,-0.9754273931972625
33368,Male,Loyal Customer,28,Personal Travel,Eco,2399,4,1,4,4,4,4,2,4,4,1,3,3,3,4,0,11.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(-0.001, 2.0]",0.48012976480129765,1.2183227824804739
15555,Male,Loyal Customer,38,Personal Travel,Business,296,3,3,3,4,3,4,4,2,4,4,3,4,2,4,240,224.0,neutral or dissatisfied,"(202.2, 303.3]","(203.4, 305.1]","(19.0, 1011.0]","(19.0, 1017.0]",0.05373073803730738,-0.8930990113182811
117142,Male,Loyal Customer,56,Personal Travel,Eco,370,3,5,3,5,5,3,5,5,5,5,1,2,3,5,7,5.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]",0.06873479318734793,-0.8188026666957856
105385,Male,Loyal Customer,31,Business travel,Eco,369,4,3,3,3,4,4,4,4,1,4,4,1,4,4,26,13.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(19.0, 1017.0]",0.06853203568532036,-0.8198066713528464
1419,Female,Loyal Customer,66,Personal Travel,Eco Plus,113,2,5,2,4,4,5,4,3,3,2,3,3,3,5,25,24.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.01662611516626115,-1.0768318635603982
30210,Female,Loyal Customer,67,Personal Travel,Eco Plus,253,1,4,0,5,2,5,5,1,1,0,1,1,1,5,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.045012165450121655,-0.9362712115718932
15067,Female,Loyal Customer,7,Personal Travel,Eco,576,4,4,4,4,4,4,4,4,5,2,4,4,5,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.11050283860502838,-0.6119777073412713
54597,Male,Loyal Customer,36,Business travel,Business,956,2,5,5,5,4,3,4,2,2,2,2,1,2,1,103,89.0,neutral or dissatisfied,"(-0.001, 101.1]","(101.7, 203.4]","(19.0, 1011.0]","(19.0, 1017.0]",0.1875506893755069,-0.2304559376581868
84885,Male,Loyal Customer,31,Personal Travel,Eco,516,2,4,2,3,2,2,2,2,1,5,2,1,2,2,23,20.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.09833738848337388,-0.6722179867649163
87692,Female,Loyal Customer,25,Personal Travel,Eco,606,2,5,2,4,1,2,1,1,4,5,4,5,4,1,8,12.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]",0.11658556366585564,-0.5818575676294488
54959,Female,disloyal Customer,24,Business travel,Eco,796,3,3,3,1,1,3,1,1,4,2,3,4,5,1,8,1.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(2.0, 19.0]",0.1551094890510949,-0.3910966827879066
83778,Male,Loyal Customer,51,Business travel,Business,2848,1,4,2,4,5,2,3,1,1,1,1,4,1,3,8,6.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]",0.5711678832116789,1.6691208735007501
44388,Female,disloyal Customer,44,Business travel,Eco,342,1,0,1,1,5,1,5,5,1,4,4,3,3,5,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.06305758313057583,-0.8469147970934866
17493,Male,Loyal Customer,51,Business travel,Eco,352,2,2,2,2,2,2,2,2,3,5,2,2,2,2,17,12.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]",0.06508515815085159,-0.8368747505228791
51791,Female,Loyal Customer,55,Personal Travel,Eco,370,3,3,3,2,5,3,5,3,3,3,3,2,3,3,7,16.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]",0.06873479318734793,-0.8188026666957856
59331,Female,Loyal Customer,62,Business travel,Business,2447,2,1,1,1,4,2,1,2,2,2,2,2,2,1,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.48986212489862124,1.2665150060193897
67160,Female,disloyal Customer,38,Business travel,Eco,721,2,3,3,4,5,3,5,5,4,2,4,4,1,5,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.13990267639902676,-0.4663970320674628
37689,Male,Loyal Customer,41,Personal Travel,Eco,1076,2,4,2,2,5,2,5,5,5,2,5,3,5,5,23,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(19.0, 1017.0]",0.2118815896188159,-0.10997537881089693
77919,Male,disloyal Customer,24,Business travel,Eco,214,1,2,1,3,3,1,3,3,2,4,3,3,3,3,0,10.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(-0.001, 2.0]",0.03710462287104623,-0.9754273931972625
3854,Male,Loyal Customer,53,Personal Travel,Eco,650,3,1,3,2,2,3,2,2,4,1,2,1,3,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.12550689375506893,-0.537681362718776
31661,Female,disloyal Customer,26,Business travel,Eco,853,2,3,3,3,5,3,5,5,4,4,4,3,3,5,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.16666666666666666,-0.3338684173354439
86535,Male,Loyal Customer,33,Personal Travel,Eco,760,3,5,3,1,1,3,1,1,5,2,5,3,5,1,0,16.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(-0.001, 2.0]",0.1478102189781022,-0.4272408504420936
126867,Female,Loyal Customer,21,Personal Travel,Eco,2077,2,0,2,4,3,2,3,3,3,4,5,3,4,3,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.4148418491484185,0.8950332829069126
116101,Female,Loyal Customer,63,Personal Travel,Eco,342,2,5,2,1,4,4,5,4,4,2,4,5,4,5,6,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(2.0, 19.0]",0.06305758313057583,-0.8469147970934866
81598,Male,disloyal Customer,21,Business travel,Eco,334,3,2,3,4,3,3,3,3,2,4,4,2,3,3,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.06143552311435523,-0.8549468343499725
4784,Male,Loyal Customer,57,Business travel,Business,2556,2,5,5,5,4,3,2,2,2,2,2,2,2,2,41,99.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.5119626926196269,1.3759515136390115
113641,Female,Loyal Customer,53,Personal Travel,Eco,397,3,4,3,1,5,4,4,2,2,3,2,3,2,4,122,104.0,neutral or dissatisfied,"(101.1, 202.2]","(101.7, 203.4]","(19.0, 1011.0]","(19.0, 1017.0]",0.07420924574209246,-0.7916945409551454
33089,Female,Loyal Customer,56,Personal Travel,Eco,163,4,5,4,1,5,1,4,5,5,4,5,1,5,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.0267639902676399,-1.0266316307073606
96546,Female,Loyal Customer,34,Personal Travel,Eco,302,2,5,2,2,2,2,2,2,5,2,5,5,5,2,7,3.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(2.0, 19.0]",0.05494728304947283,-0.8870749833759165
110319,Female,disloyal Customer,24,Business travel,Eco,787,2,2,2,1,4,2,4,4,5,5,5,3,5,4,6,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(2.0, 19.0]",0.15328467153284672,-0.40013272470145334
1187,Female,Loyal Customer,30,Personal Travel,Eco,134,4,5,0,1,1,0,1,1,4,4,4,5,5,1,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.020884022708840228,-1.0557477657621224
25172,Female,Loyal Customer,36,Personal Travel,Eco,369,2,5,2,1,2,2,1,2,1,1,3,3,2,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.06853203568532036,-0.8198066713528464
107821,Male,disloyal Customer,19,Business travel,Business,349,2,2,2,4,3,2,3,3,1,5,3,1,4,3,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.06447688564476886,-0.8398867644940613
126192,Male,Loyal Customer,53,Business travel,Eco,600,4,4,4,4,4,4,4,4,2,1,3,1,2,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.11536901865369019,-0.5878815955718134
125441,Male,disloyal Customer,27,Business travel,Business,2845,4,4,4,3,1,4,1,1,4,4,2,2,3,1,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.5705596107055961,1.6661088595295679
25017,Male,Loyal Customer,33,Business travel,Business,2529,2,5,5,5,2,2,2,2,1,4,3,1,3,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.5064882400648824,1.3488433878983712
102445,Male,Loyal Customer,32,Personal Travel,Eco,223,3,5,3,2,2,3,5,2,4,5,5,4,4,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.038929440389294405,-0.9663913512837157
5136,Female,Loyal Customer,58,Business travel,Business,184,2,1,1,1,3,4,3,3,3,3,2,3,3,3,14,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(2.0, 19.0]",0.03102189781021898,-1.0055475329090848
75346,Male,Loyal Customer,56,Personal Travel,Eco,2615,2,4,2,4,2,3,5,3,3,4,5,5,4,5,0,1.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.5239253852392538,1.4351877884055955
119094,Female,disloyal Customer,50,Business travel,Eco,1107,3,3,3,4,3,3,3,3,1,2,4,1,4,3,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.21816707218167072,-0.07885123444201372
40577,Male,Loyal Customer,49,Business travel,Eco,411,1,4,4,4,1,1,1,1,4,1,3,1,2,1,5,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(2.0, 19.0]",0.0770478507704785,-0.777638475756295
19742,Male,disloyal Customer,11,Business travel,Eco,491,1,4,1,4,4,1,4,4,4,5,4,4,3,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.09326845093268452,-0.6973181031914351
48656,Male,disloyal Customer,27,Business travel,Business,266,3,3,3,5,4,3,4,4,3,3,4,4,4,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.04764801297648013,-0.9232191510301035
43496,Female,Loyal Customer,33,Personal Travel,Eco,679,2,4,2,1,1,2,1,1,5,2,5,3,5,1,22,15.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(19.0, 1017.0]",0.13138686131386862,-0.5085652276640142
81847,Female,Loyal Customer,8,Personal Travel,Eco,1501,2,4,2,3,2,2,2,2,4,2,4,3,3,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.2980535279805353,0.31672660043992135
110064,Female,disloyal Customer,25,Business travel,Eco Plus,2039,2,3,2,4,1,2,1,1,1,5,2,4,3,1,0,6.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(-0.001, 2.0]",0.4071370640713706,0.8568811059386042
25650,Female,Loyal Customer,30,Personal Travel,Eco,666,2,2,2,4,2,2,2,2,2,5,4,1,3,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.12875101378751014,-0.521617288205804
96069,Male,Loyal Customer,31,Personal Travel,Eco,758,3,3,4,4,1,4,1,1,2,2,2,3,5,1,15,21.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(2.0, 19.0]",0.14740470397404704,-0.4292488597562151
54947,Female,Loyal Customer,53,Personal Travel,Business,1504,3,4,3,3,1,5,1,1,1,3,1,5,1,3,22,60.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.298661800486618,0.31973861441110357
5290,Female,Loyal Customer,41,Personal Travel,Eco,190,3,4,3,3,4,3,4,4,4,4,4,5,5,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.03223844282238443,-0.9995235049667204
64349,Male,disloyal Customer,71,Business travel,Business,1212,1,0,0,3,4,1,4,4,4,5,4,5,4,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.2394566098945661,0.026569254549364908
88324,Male,Loyal Customer,38,Business travel,Eco,581,2,3,3,3,2,2,2,2,3,1,3,2,3,2,5,30.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(2.0, 19.0]",0.11151662611516626,-0.6069576840559676
108804,Male,Loyal Customer,49,Personal Travel,Eco,581,2,5,1,3,1,1,1,1,3,5,4,4,4,1,13,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(2.0, 19.0]",0.11151662611516626,-0.6069576840559676
6588,Female,Loyal Customer,56,Personal Travel,Eco,528,2,5,2,5,5,4,4,3,3,2,3,4,3,3,102,109.0,neutral or dissatisfied,"(101.1, 202.2]","(101.7, 203.4]","(19.0, 1011.0]","(19.0, 1017.0]",0.10077047850770479,-0.6601699308801873
121890,Male,Loyal Customer,24,Personal Travel,Eco,366,1,3,2,4,4,2,4,4,1,4,2,1,2,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.06792376317923764,-0.8228186853240286
71265,Female,Loyal Customer,27,Personal Travel,Eco,733,1,5,1,2,1,1,1,4,2,1,3,1,2,1,217,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(203.4, 305.1]","(-0.001, 3.0]","(19.0, 1017.0]",0.14233576642335766,-0.4543489761827338
105301,Male,disloyal Customer,41,Business travel,Eco,567,4,0,4,3,2,4,2,2,4,4,4,5,4,2,26,35.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.10867802108678021,-0.6210137492548181
